StoreID,Date,City,State,Latitude,Longitude,Sales,Customers,ExistingStore,DemandScore
1069,2025-02-11,Jaipur,Rajasthan,26.85454,75.744302,413829,206,Yes,44
1070,2025-07-28,Kolkata,West Bengal,22.545541,88.358448,82645,261,No,64
1071,2025-12-23,Lucknow,Uttar Pradesh,26.769825,81.007105,351827,439,No,40
1072,2025-06-02,Delhi,Delhi,28.654456,77.265552,488162,479,Yes,71
1073,2025-05-20,Mumbai,Maharashtra,19.065734,72.802344,226228,464,Yes,93
1074,2025-03-07,Ahmedabad,Gujarat,23.099416,72.57686,256580,77,Yes,81
1075,2025-03-11,Kolkata,West Bengal,22.631296,88.312977,186396,438,No,53
1076,2025-06-17,Ahmedabad,Gujarat,22.9965,72.632142,195886,481,No,93
1077,2025-08-29,Hyderabad,Telangana,17.308101,78.493007,233480,279,Yes,89
1078,2025-01-16,Bengaluru,Karnataka,13.043538,77.546498,60684,206,Yes,48
1079,2025-12-09,Ahmedabad,Gujarat,22.960802,72.643041,293811,312,No,50
1080,2025-11-07,Lucknow,Uttar Pradesh,26.920898,80.981137,457786,217,No,46
1081,2025-01-14,Lucknow,Uttar Pradesh,26.915322,80.958327,246768,456,Yes,44
1082,2025-12-20,Lucknow,Uttar Pradesh,26.899591,80.905056,415529,358,Yes,90
1083,2025-01-22,Lucknow,Uttar Pradesh,26.822253,80.93474,244285,120,No,40
1084,2025-09-08,Kolkata,West Bengal,22.509486,88.437626,383229,520,Yes,67
1085,2025-09-25,Chennai,Tamil Nadu,13.157176,80.233913,473729,545,No,67
1086,2025-05-18,Lucknow,Uttar Pradesh,26.818269,80.905479,95436,335,No,55
1087,2025-10-19,Ahmedabad,Gujarat,23.040153,72.552038,65047,556,No,51
1088,2025-04-19,Ahmedabad,Gujarat,22.999272,72.532736,196621,332,Yes,73
1089,2025-02-13,Mumbai,Maharashtra,19.034617,72.862728,341072,296,No,81
1090,2025-08-18,Ahmedabad,Gujarat,23.069369,72.506289,166180,464,Yes,59
1091,2025-07-08,Lucknow,Uttar Pradesh,26.842422,80.951148,273086,388,No,84
1092,2025-05-19,Ahmedabad,Gujarat,22.99156,72.528286,428160,247,No,47
1093,2025-12-20,Jaipur,Rajasthan,26.862024,75.741922,303859,333,No,46
1094,2025-06-01,Mumbai,Maharashtra,19.032397,72.826411,57417,596,Yes,57
1095,2025-01-28,Bengaluru,Karnataka,12.980137,77.626187,116206,552,Yes,95
1096,2025-10-21,Bengaluru,Karnataka,12.937094,77.591194,228628,238,Yes,56
1097,2025-02-28,Ahmedabad,Gujarat,23.074039,72.555513,88840,104,Yes,49
1098,2025-06-05,Lucknow,Uttar Pradesh,26.780329,80.905911,342590,476,Yes,89
1099,2025-07-14,Jaipur,Rajasthan,26.904482,75.778135,358556,489,No,76
1100,2025-01-31,Lucknow,Uttar Pradesh,26.864241,80.984614,449893,262,Yes,56
1101,2025-03-22,Hyderabad,Telangana,17.343378,78.495019,132068,52,No,68
1102,2025-08-29,Lucknow,Uttar Pradesh,26.813301,80.903236,420648,339,No,44
1103,2025-05-16,Mumbai,Maharashtra,19.122052,72.897709,396650,252,No,47
1104,2025-04-26,Jaipur,Rajasthan,26.936022,75.852646,483392,195,Yes,43
1105,2025-06-07,Chennai,Tamil Nadu,13.097907,80.322578,201315,499,Yes,69
1106,2025-12-25,Pune,Maharashtra,18.504801,73.820259,333105,555,No,45
1107,2025-01-21,Lucknow,Uttar Pradesh,26.909008,80.983725,366519,306,Yes,45
1108,2025-12-12,Mumbai,Maharashtra,19.129753,72.889732,60876,325,Yes,88
1109,2025-08-29,Chennai,Tamil Nadu,13.085734,80.261457,195834,235,No,80
1110,2025-02-16,Ahmedabad,Gujarat,23.017702,72.556736,218326,157,Yes,61
1111,2025-12-22,Kolkata,West Bengal,22.571875,88.389913,259952,87,No,45
1112,2025-05-10,Delhi,Delhi,28.585624,77.28423,261904,576,Yes,82
1113,2025-08-25,Jaipur,Rajasthan,26.89852,75.737313,239676,560,No,88
1114,2025-04-15,Bengaluru,Karnataka,12.934329,77.535562,201010,498,No,47
1115,2025-11-19,Bengaluru,Karnataka,12.989019,77.552888,133035,368,Yes,75
1116,2025-02-17,Kolkata,West Bengal,22.528552,88.418525,109486,522,Yes,81
1117,2025-09-13,Chennai,Tamil Nadu,13.151924,80.237398,419838,329,No,93
1118,2025-08-30,Ahmedabad,Gujarat,22.981497,72.579602,251109,245,Yes,95
1119,2025-05-22,Hyderabad,Telangana,17.428628,78.543406,228192,569,No,92
1120,2025-05-25,Bengaluru,Karnataka,13.007768,77.648596,354046,551,Yes,68
1121,2025-09-05,Jaipur,Rajasthan,26.88762,75.795607,334913,436,No,99
1122,2025-04-07,Delhi,Delhi,28.690824,77.167209,250787,289,No,42
1123,2025-08-31,Delhi,Delhi,28.646736,77.258825,252416,205,No,42
1124,2025-09-15,Chennai,Tamil Nadu,13.157157,80.243819,102619,500,Yes,73
1125,2025-01-08,Ahmedabad,Gujarat,23.058091,72.556997,393293,208,Yes,70
1126,2025-06-23,Pune,Maharashtra,18.540122,73.840297,92108,386,No,60
1127,2025-10-05,Ahmedabad,Gujarat,22.948244,72.502347,380910,344,Yes,87
1128,2025-08-11,Hyderabad,Telangana,17.461534,78.528359,419041,152,No,50
1129,2025-01-15,Pune,Maharashtra,18.447759,73.904083,203809,417,No,67
1130,2025-05-06,Chennai,Tamil Nadu,13.087687,80.281248,465508,234,Yes,51
1131,2025-11-09,Hyderabad,Telangana,17.444334,78.505854,176264,559,Yes,54
1132,2025-11-23,Ahmedabad,Gujarat,22.983136,72.532252,54926,526,No,83
1133,2025-03-22,Jaipur,Rajasthan,26.844218,75.858538,358056,356,No,84
1134,2025-08-22,Pune,Maharashtra,18.575649,73.808575,251690,544,Yes,55
1135,2025-10-20,Kolkata,West Bengal,22.550033,88.33124,416623,352,Yes,93
1136,2025-05-21,Kolkata,West Bengal,22.493896,88.422311,458059,100,No,93
1137,2025-04-28,Pune,Maharashtra,18.53753,73.833071,383771,244,No,83
1138,2025-11-18,Chennai,Tamil Nadu,13.018246,80.291093,70668,366,No,42
1139,2025-07-06,Lucknow,Uttar Pradesh,26.883878,80.880621,204722,384,No,51
1140,2025-03-09,Mumbai,Maharashtra,19.121842,72.937934,241814,593,No,93
1141,2025-05-12,Chennai,Tamil Nadu,13.148948,80.34177,472832,352,No,91
1142,2025-08-28,Hyderabad,Telangana,17.459063,78.429221,168287,456,No,45
1143,2025-01-08,Kolkata,West Bengal,22.534913,88.303674,243245,318,No,92
1144,2025-02-25,Delhi,Delhi,28.641874,77.204436,374820,385,Yes,81
1145,2025-11-22,Hyderabad,Telangana,17.436817,78.552202,208434,468,Yes,48
1146,2025-01-20,Bengaluru,Karnataka,12.940298,77.59342,100956,290,Yes,64
1147,2025-07-09,Ahmedabad,Gujarat,23.049778,72.610302,333216,479,Yes,96
1148,2025-12-02,Kolkata,West Bengal,22.508443,88.362196,263970,336,Yes,84
1149,2025-04-22,Delhi,Delhi,28.604841,77.281089,498502,421,Yes,83
1150,2025-10-06,Delhi,Delhi,28.678171,77.232172,81745,457,No,52
1151,2025-08-21,Hyderabad,Telangana,17.319668,78.440637,385278,71,Yes,90
1152,2025-05-05,Delhi,Delhi,28.692111,77.254916,157586,120,Yes,77
1153,2025-04-30,Mumbai,Maharashtra,19.04857,72.821309,362466,52,No,94
1154,2025-03-08,Chennai,Tamil Nadu,13.089134,80.318462,107633,76,Yes,40
1155,2025-05-02,Delhi,Delhi,28.628116,77.131525,189129,103,Yes,87
1156,2025-09-27,Kolkata,West Bengal,22.510784,88.294069,285025,420,Yes,68
1157,2025-04-24,Jaipur,Rajasthan,26.983667,75.714238,460636,583,No,69
1158,2025-02-01,Bengaluru,Karnataka,13.051374,77.650168,273490,160,No,85
1159,2025-02-07,Ahmedabad,Gujarat,23.086383,72.542938,127769,117,Yes,57
1160,2025-11-21,Lucknow,Uttar Pradesh,26.860358,80.980144,249703,593,No,69
1161,2025-11-06,Jaipur,Rajasthan,26.901232,75.834195,109985,270,No,68
1162,2025-07-31,Mumbai,Maharashtra,19.050229,72.87026,268098,147,No,67
1163,2025-12-07,Delhi,Delhi,28.574682,77.281575,410092,535,Yes,45
1164,2025-02-17,Hyderabad,Telangana,17.3741,78.525834,245374,183,Yes,77
1165,2025-10-15,Jaipur,Rajasthan,26.885143,75.726857,235387,483,Yes,58
1166,2025-06-09,Lucknow,Uttar Pradesh,26.822963,80.958667,161536,208,No,54
1167,2025-06-29,Hyderabad,Telangana,17.44026,78.46551,449824,335,Yes,91
1168,2025-10-15,Kolkata,West Bengal,22.648527,88.414848,371689,76,No,41
1169,2025-05-20,Chennai,Tamil Nadu,13.115132,80.240138,228165,409,Yes,51
1170,2025-10-17,Chennai,Tamil Nadu,13.107875,80.201834,438481,81,Yes,87
1171,2025-04-21,Jaipur,Rajasthan,26.892591,75.779883,132527,428,No,86
1172,2025-10-18,Delhi,Delhi,28.629296,77.270335,131568,211,Yes,83
1173,2025-05-20,Hyderabad,Telangana,17.375898,78.474542,368282,502,No,57
1174,2025-09-20,Mumbai,Maharashtra,19.014211,72.866486,198502,548,No,42
1175,2025-07-22,Mumbai,Maharashtra,19.153511,72.806465,157176,358,Yes,89
1176,2025-05-11,Chennai,Tamil Nadu,13.049012,80.209897,310773,490,Yes,48
1177,2025-09-30,Kolkata,West Bengal,22.605187,88.363942,486917,412,Yes,65
1178,2025-08-12,Bengaluru,Karnataka,12.894599,77.661986,214133,489,No,85
1179,2025-05-29,Kolkata,West Bengal,22.511028,88.287237,220272,225,No,93
1180,2025-02-15,Delhi,Delhi,28.603774,77.145938,278419,460,Yes,65
1181,2025-06-23,Pune,Maharashtra,18.475852,73.901359,90044,572,Yes,73
1182,2025-04-10,Jaipur,Rajasthan,26.977348,75.7632,431356,201,Yes,46
1183,2025-05-12,Chennai,Tamil Nadu,13.034263,80.287084,448571,127,Yes,100
1184,2025-08-26,Ahmedabad,Gujarat,23.063211,72.61298,285355,380,No,49
1185,2025-02-04,Ahmedabad,Gujarat,23.017527,72.592422,467506,331,Yes,62
1186,2025-02-07,Jaipur,Rajasthan,26.882065,75.779606,79826,427,No,44
1187,2025-11-11,Hyderabad,Telangana,17.400053,78.468217,354259,92,No,98
1188,2025-11-30,Lucknow,Uttar Pradesh,26.796818,80.963001,312860,204,Yes,68
1189,2025-06-25,Hyderabad,Telangana,17.462182,78.420193,388756,226,Yes,55
1190,2025-08-13,Ahmedabad,Gujarat,23.026351,72.588969,240787,431,No,64
1191,2025-06-23,Kolkata,West Bengal,22.601224,88.292278,380766,392,Yes,61
1192,2025-10-13,Hyderabad,Telangana,17.413541,78.452164,429444,203,No,45
1193,2025-12-06,Lucknow,Uttar Pradesh,26.789329,80.922171,393961,451,Yes,78
1194,2025-06-08,Hyderabad,Telangana,17.394428,78.509659,222216,180,Yes,81
1195,2025-09-18,Kolkata,West Bengal,22.550492,88.341916,144509,269,No,100
1196,2025-04-09,Ahmedabad,Gujarat,22.978747,72.51341,90456,352,Yes,72
1197,2025-09-27,Jaipur,Rajasthan,26.83844,75.761182,451765,184,No,49
1198,2025-04-03,Chennai,Tamil Nadu,13.135715,80.314076,474171,219,No,42
1199,2025-07-06,Kolkata,West Bengal,22.600818,88.321905,282888,341,No,54
1200,2025-05-03,Jaipur,Rajasthan,26.881915,75.83668,295899,248,No,83
1201,2025-08-14,Lucknow,Uttar Pradesh,26.840569,80.911283,250211,564,No,50
1202,2025-11-06,Mumbai,Maharashtra,19.018144,72.837701,386162,542,No,75
1203,2025-12-31,Hyderabad,Telangana,17.440343,78.542887,199455,135,Yes,57
1204,2025-09-20,Ahmedabad,Gujarat,22.966076,72.561396,166411,511,No,99
1205,2025-08-01,Bengaluru,Karnataka,12.900121,77.594921,173615,445,Yes,63
1206,2025-01-15,Mumbai,Maharashtra,19.04699,72.813553,424710,393,Yes,48
1207,2025-05-27,Bengaluru,Karnataka,13.038383,77.590193,485741,192,No,68
1208,2025-01-03,Lucknow,Uttar Pradesh,26.911637,80.869241,163065,203,No,47
1209,2025-05-02,Pune,Maharashtra,18.488584,73.78434,270109,518,Yes,47
1210,2025-11-02,Ahmedabad,Gujarat,23.028269,72.592513,351490,297,Yes,58
1211,2025-01-01,Kolkata,West Bengal,22.59097,88.32239,268401,241,Yes,73
1212,2025-02-04,Delhi,Delhi,28.686445,77.216053,462306,569,Yes,64
1213,2025-01-23,Ahmedabad,Gujarat,23.044207,72.648366,182985,66,No,90
1214,2025-06-26,Hyderabad,Telangana,17.34358,78.511837,104349,390,Yes,42
1215,2025-10-07,Delhi,Delhi,28.588068,77.231847,485360,525,No,80
1216,2025-03-11,Chennai,Tamil Nadu,13.012796,80.31489,289955,87,No,52
1217,2025-04-13,Bengaluru,Karnataka,13.033326,77.565095,212569,577,No,92
1218,2025-08-31,Jaipur,Rajasthan,26.87293,75.827827,150193,342,No,95
1219,2025-12-02,Bengaluru,Karnataka,12.944708,77.534516,242948,497,No,87
1220,2025-07-17,Ahmedabad,Gujarat,22.996746,72.521291,412843,559,No,99
1221,2025-05-17,Jaipur,Rajasthan,26.960584,75.823633,91380,490,Yes,74
1222,2025-06-14,Pune,Maharashtra,18.456816,73.829167,205000,363,No,78
1223,2025-03-27,Kolkata,West Bengal,22.602962,88.340148,72206,411,No,57
1224,2025-02-08,Bengaluru,Karnataka,12.998989,77.579594,319004,213,Yes,49
1225,2025-12-14,Lucknow,Uttar Pradesh,26.89171,80.871768,85249,291,No,63
1226,2025-10-18,Kolkata,West Bengal,22.497782,88.30845,285889,429,No,68
1227,2025-10-21,Hyderabad,Telangana,17.327031,78.465412,214828,335,Yes,47
1228,2025-04-06,Bengaluru,Karnataka,12.971447,77.576518,344478,170,No,89
1229,2025-12-27,Pune,Maharashtra,18.511804,73.936118,199724,552,Yes,47
1230,2025-02-07,Chennai,Tamil Nadu,13.075027,80.334489,283366,139,No,82
1231,2025-12-30,Delhi,Delhi,28.54429,77.215747,207263,211,Yes,90
1232,2025-09-18,Delhi,Delhi,28.569779,77.286621,465270,192,Yes,90
1233,2025-01-14,Ahmedabad,Gujarat,23.000243,72.582964,295055,182,Yes,44
1234,2025-07-23,Pune,Maharashtra,18.600335,73.891719,325615,470,No,92
1235,2025-02-07,Lucknow,Uttar Pradesh,26.786752,80.916924,88883,510,No,83
1236,2025-06-26,Jaipur,Rajasthan,26.852934,75.839949,339041,236,Yes,67
1237,2025-01-29,Jaipur,Rajasthan,26.965423,75.790196,209448,218,Yes,60
1238,2025-06-27,Mumbai,Maharashtra,19.147597,72.880724,198923,130,No,52
1239,2025-05-21,Jaipur,Rajasthan,26.852427,75.755752,329696,145,Yes,77
1240,2025-03-20,Lucknow,Uttar Pradesh,26.794092,80.966117,367267,395,Yes,92
1241,2025-02-11,Bengaluru,Karnataka,12.898874,77.617233,352394,321,Yes,89
1242,2025-08-02,Lucknow,Uttar Pradesh,26.865597,80.871046,378814,346,No,70
1243,2025-12-17,Mumbai,Maharashtra,19.060975,72.870267,411031,111,Yes,68
1244,2025-09-05,Kolkata,West Bengal,22.566911,88.338331,125323,370,No,86
1245,2025-07-24,Delhi,Delhi,28.554823,77.188286,344466,158,No,55
1246,2025-03-04,Ahmedabad,Gujarat,22.985295,72.531067,100757,101,No,100
1247,2025-11-12,Kolkata,West Bengal,22.559502,88.43793,133728,385,No,52
1248,2025-09-13,Chennai,Tamil Nadu,13.162055,80.26539,211764,559,Yes,45
1249,2025-09-16,Kolkata,West Bengal,22.565757,88.322417,355840,411,Yes,43
1250,2025-09-11,Pune,Maharashtra,18.536003,73.911556,402594,531,No,74
1251,2025-02-25,Bengaluru,Karnataka,12.960548,77.655793,431423,424,No,63
1252,2025-07-25,Bengaluru,Karnataka,12.899785,77.604491,240066,345,Yes,64
1253,2025-08-19,Jaipur,Rajasthan,26.954705,75.752055,376758,171,Yes,46
1254,2025-07-11,Kolkata,West Bengal,22.619784,88.338154,241683,197,Yes,78
1255,2025-07-25,Jaipur,Rajasthan,26.912412,75.714549,121846,391,No,73
1256,2025-03-18,Ahmedabad,Gujarat,23.039502,72.573881,221948,376,Yes,65
1257,2025-06-03,Lucknow,Uttar Pradesh,26.861696,80.94737,317236,595,No,85
1258,2025-06-03,Lucknow,Uttar Pradesh,26.842683,80.868862,223664,162,No,77
1259,2025-12-19,Pune,Maharashtra,18.541082,73.872206,189214,283,Yes,77
1260,2025-03-29,Ahmedabad,Gujarat,23.026377,72.606789,456116,439,Yes,92
1261,2025-01-17,Mumbai,Maharashtra,19.087611,72.909783,150025,69,No,60
1262,2025-03-19,Kolkata,West Bengal,22.558674,88.316523,313097,532,Yes,85
1263,2025-09-23,Chennai,Tamil Nadu,13.035875,80.242708,397197,539,No,60
1264,2025-08-24,Chennai,Tamil Nadu,13.14864,80.245472,235748,320,No,52
1265,2025-05-23,Mumbai,Maharashtra,19.085294,72.833679,206035,345,Yes,84
1266,2025-06-12,Ahmedabad,Gujarat,23.019269,72.581078,467021,330,No,47
1267,2025-12-13,Lucknow,Uttar Pradesh,26.853611,81.009522,256848,403,Yes,58
1268,2025-05-28,Bengaluru,Karnataka,13.04445,77.527245,281932,312,No,53
1269,2025-10-03,Mumbai,Maharashtra,19.039381,72.887623,192407,190,Yes,79
1270,2025-05-03,Lucknow,Uttar Pradesh,26.805493,80.973373,328418,281,Yes,43
1271,2025-07-31,Hyderabad,Telangana,17.357847,78.482285,407140,190,Yes,75
1272,2025-07-28,Chennai,Tamil Nadu,13.107163,80.331604,299403,538,Yes,88
1273,2025-06-14,Pune,Maharashtra,18.486066,73.786166,453033,141,Yes,74
1274,2025-03-31,Bengaluru,Karnataka,12.958462,77.648617,69052,456,No,51
1275,2025-01-20,Pune,Maharashtra,18.441883,73.867574,106256,393,No,69
1276,2025-09-26,Jaipur,Rajasthan,26.911426,75.85747,496200,566,No,57
1277,2025-02-27,Mumbai,Maharashtra,19.048909,72.914679,389888,313,Yes,40
1278,2025-06-01,Delhi,Delhi,28.624745,77.250165,142009,465,No,72
1279,2025-02-14,Delhi,Delhi,28.598033,77.144262,123721,538,No,99
1280,2025-01-04,Mumbai,Maharashtra,19.037726,72.835383,445185,323,No,59
1281,2025-10-21,Lucknow,Uttar Pradesh,26.76853,80.970789,413210,291,Yes,82
1282,2025-08-27,Hyderabad,Telangana,17.354089,78.471567,313465,368,Yes,80
1283,2025-07-08,Pune,Maharashtra,18.53874,73.811761,120028,539,Yes,69
1284,2025-07-11,Lucknow,Uttar Pradesh,26.833235,80.954078,296849,600,Yes,88
1285,2025-12-15,Mumbai,Maharashtra,19.116758,72.937402,92923,588,No,73
1286,2025-02-09,Delhi,Delhi,28.680659,77.146953,484516,567,Yes,76
1287,2025-03-18,Jaipur,Rajasthan,26.858726,75.844018,281651,169,Yes,85
1288,2025-09-08,Lucknow,Uttar Pradesh,26.781251,80.94786,473987,106,No,48
1289,2025-08-01,Jaipur,Rajasthan,26.905488,75.716538,292419,365,Yes,65
1290,2025-01-02,Pune,Maharashtra,18.559729,73.86923,73744,483,No,84
1291,2025-10-05,Hyderabad,Telangana,17.46406,78.556233,86185,533,Yes,58
1292,2025-04-03,Kolkata,West Bengal,22.615636,88.406432,432357,480,No,97
1293,2025-08-18,Kolkata,West Bengal,22.631739,88.428983,246946,132,Yes,81
1294,2025-03-02,Delhi,Delhi,28.562456,77.214961,327265,180,Yes,93
1295,2025-01-12,Bengaluru,Karnataka,13.048159,77.588681,427012,484,No,92
1296,2025-05-07,Mumbai,Maharashtra,19.0697,72.822519,148818,165,Yes,91
1297,2025-11-11,Kolkata,West Bengal,22.615169,88.425301,58202,296,Yes,44
1298,2025-11-01,Hyderabad,Telangana,17.310372,78.502346,418724,99,Yes,87
1299,2025-07-25,Bengaluru,Karnataka,12.961834,77.600962,445515,107,Yes,72
1300,2025-04-30,Pune,Maharashtra,18.570926,73.893743,217197,378,Yes,59
1301,2025-12-05,Chennai,Tamil Nadu,13.0861,80.25687,194259,112,Yes,80
1302,2025-10-12,Kolkata,West Bengal,22.571899,88.439466,387282,440,No,84
1303,2025-07-29,Kolkata,West Bengal,22.516475,88.344134,445531,600,No,55
1304,2025-06-03,Mumbai,Maharashtra,19.133207,72.820796,292758,109,No,66
1305,2025-09-29,Jaipur,Rajasthan,26.853855,75.746157,156607,388,Yes,99
1306,2025-07-09,Ahmedabad,Gujarat,22.957294,72.607334,149867,102,No,64
1307,2025-11-05,Lucknow,Uttar Pradesh,26.773028,80.877845,471868,272,No,53
1308,2025-06-05,Delhi,Delhi,28.687023,77.131453,149627,170,No,98
1309,2025-12-23,Mumbai,Maharashtra,19.092704,72.830422,175478,379,No,64
1310,2025-10-01,Ahmedabad,Gujarat,23.046295,72.540748,238557,575,No,69
1311,2025-08-29,Hyderabad,Telangana,17.426861,78.457937,156497,429,No,66
1312,2025-10-16,Bengaluru,Karnataka,13.029854,77.6332,58503,317,No,58
1313,2025-04-11,Chennai,Tamil Nadu,13.055478,80.251474,486922,301,No,75
1314,2025-05-12,Delhi,Delhi,28.656038,77.207179,429352,552,No,50
1315,2025-03-28,Delhi,Delhi,28.556293,77.216447,146494,110,Yes,93
1316,2025-12-09,Hyderabad,Telangana,17.312762,78.407721,122085,286,Yes,85
1317,2025-01-05,Chennai,Tamil Nadu,13.037695,80.263662,81693,544,No,41
1318,2025-09-30,Bengaluru,Karnataka,12.979863,77.516496,327567,331,No,41
1319,2025-12-24,Jaipur,Rajasthan,26.940245,75.836287,143987,159,Yes,73
1320,2025-05-04,Chennai,Tamil Nadu,13.033409,80.274933,477407,412,No,90
1321,2025-02-10,Kolkata,West Bengal,22.552288,88.348864,346223,299,Yes,59
1322,2025-12-01,Hyderabad,Telangana,17.463668,78.510683,66611,145,No,64
